Virus	RCA-Skin-5	RCA-Vulva-5	RCA-Vulva-8	RCA-Skin-7	RCA-Vulva-3	RCA-Vulva-7	RCA-Skin-10	RCA-Skin-3	RCA-Vulva-4	RCA-Skin-8	RCA-Vulva-9	RCA-Skin-12	RCA-Skin-1	RCA-Vulva-1	RCA-Vulva-6	RCA-Skin-4	RCA-Skin-6	RCA-Vulva-10	RCA-Vulva-11	RCA-Vulva-12	RCA-Skin-11	RCA-Skin-2	RCA-Vulva-2	RCA-Skin-9
Human papillomavirus 5	1.0	11.0	0	6.0	0	2.0	0	0	384.0	0	1.0	0	0	0	1.0	5.0	0	0	0	0	0	0	0	0
Human papillomavirus type 5b	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Propionibacterium phage P100D	1.0	0	0	0	0	0	20.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 128	1.0	0	0	0	0	0	0	1.0	0	0	0	0	4.0	0	0	0	0	0	0	0	1.0	12.0	0	0
Human papillomavirus type 6	0	42.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured virus	0	7.0	0	0	4.0	0	3.0	198.0	0	0	0	3.0	1.0	0	0	27.0	283.0	2.0	0	0	1.0	1.0	2.0	0
Human papillomavirus type 11	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JC polyomavirus	0	9.0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	4.0	1.0	0	0	0	0
Human papillomavirus type 31	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 209	0	2.0	0	0	0	0	0	14772.0	0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0
Human papillomavirus 104	0	4.0	0	0	22.0	0	0	0	0	43.0	4.0	0	8.0	0	0	0	0	0	17.0	51.0	0	0	0	2.0
Human polyomavirus 7	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0
Lake Baikal phage Baikal-20-5m-C28	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 99	0	2.0	0	0	2.0	0	0	0	0	0	358.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 155	0	4.0	0	0	0	0	0	13.0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0
Human papillomavirus 125	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibacterium phage FP_Lagaffe	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human immunodeficiency virus 1	0	1.0	0	0	0	0	1.0	0	0	0	5.0	0	0	0	0	0	4.0	0	0	1.0	0	0	0	0
Human polyomavirus 2	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
Streptococcus phage Javan320	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium phage IME1320_01	0	0	2.0	0	0	0	0	0	2.0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 161	0	0	6.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anelloviridae sp.	0	0	6.0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	1412.0	0	0	0
Torque teno virus	0	0	3.0	0	0	0	0	0	0	7.0	0	0	0	3.0	0	0	0	0	0	0	3.0	0	0	0
Human papillomavirus 192	0	0	1.0	0	0	0	70.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 76	0	0	2.0	0	0	0	4.0	48.0	0	2227.0	0	0	0	0	0	0	0	0	0	0	0	140.0	0	0
Acinetobacter phage TAC1	0	0	2.0	0	0	0	0	0	10.0	2.0	0	4.0	0	0	0	4.0	0	0	0	0	0	0	0	0
Capybara microvirus Cap3_SP_535	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio phage JSF6	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
Streptococcus phage Javan8	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio phage JSF5	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
Human polyomavirus 6	0	0	0	107.0	985.0	0	0	2.0	0	30.0	0	0	0	5.0	0	3647.0	0	0	0	2.0	32.0	0	0	62.0
Canine feces-associated gemycircularvirus	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 20	0	0	0	14.0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.0	3.0	0	0
Abelson murine leukemia virus	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 80	0	0	0	4.0	0	0	0	2192.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 98	0	0	0	1.0	9922.0	0	0	0	0	0	0	0	0	0	38.0	0	0	0	3.0	0	0	0	0	0
Human papillomavirus 17	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	2.0	0	0	0	0
Escherichia virus phiX174	0	0	0	2.0	1.0	0	0	0	1.0	0	0	3.0	0	0	0	0	0	0	0	1.0	1.0	0	2.0	0
Streptococcus phage Javan371	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macaca mulatta polyomavirus 1	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0
Staphylococcus phage StB20	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 150	0	0	0	0	2947.0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	41.0	0
Staphylococcus virus IPLA7	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sewage-associated gemycircularvirus-10a	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 21	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unidentified phage	0	0	0	0	6.0	0	0	0	4.0	0	0	0	0	5.0	0	2.0	0	0	0	1.0	0	0	1.0	0
Staphylococcus phage Quidividi	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus FA75/KI88-03	0	0	0	0	14.0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	12.0	39.0	0	0	0	0
Staphylococcus phage StB27	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0
Staphylococcus phage IME1367_02	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Capybara genomovirus 7	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 39	0	0	0	0	1.0	18347.0	0	5.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Staphylococcus phage IME1348_01	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus phage Terranova	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	0	0	0	0	0
Staphylococcus phage Twillingate	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 56	0	0	0	0	0	7627.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage SW27	0	0	0	0	0	22.0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0
Human papillomavirus 145	0	0	0	0	0	90.0	8.0	1.0	0	0	52.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 122	0	0	0	0	0	15.0	2.0	161.0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	442.0	0	0
Human papillomavirus type 194	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inoviridae sp.	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0
Human papillomavirus type 47	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papillomaviridae sp.	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus satellite phage Javan416	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage SWK3	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 96	0	0	0	0	0	2.0	0	0	0	0	160.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage Javan105	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus phage AM12	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured marine virus	0	0	0	0	0	1.0	0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	0	0	0	0	0
Gammapapillomavirus 24	0	0	0	0	0	0	366.0	0	0	203.0	0	0	0	1.0	0	0	0	0	0	0	21.0	0	0	0
Moloney murine sarcoma virus	0	0	0	0	0	0	14.0	0	0	0	0	0	15.0	0	0	12.0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL009M11	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betapapillomavirus 1	0	0	0	0	0	0	56.0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0
Gammapapillomavirus 9	0	0	0	0	0	0	123.0	198.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PAC1	0	0	0	0	0	0	118.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Propionibacterium phage BruceLethal	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PA1-14	0	0	0	0	0	0	24.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL092M00	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa615	0	0	0	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thrips-associated genomovirus 2	0	0	0	0	0	0	90.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.0
Propionibacterium phage PHL025M00	0	0	0	0	0	0	35.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL071N05	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Leviosa	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage MEAK	0	0	0	0	0	0	28.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Attacne	0	0	0	0	0	0	25.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage SKKY	0	0	0	0	0	0	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa27	0	0	0	0	0	0	9.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa33	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL194M00	0	0	0	0	0	0	17.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0
Human papillomavirus type 196	0	0	0	0	0	0	29.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Stormborn	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Enoki	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sida golden mosaic Buckup virus	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage DrParker	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL041M10	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa63	0	0	0	0	0	0	13.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage P105	0	0	0	0	0	0	45.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL082M03	0	0	0	0	0	0	34.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL179M00	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sida golden mottle virus	0	0	0	0	0	0	45.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa9-6919-4	0	0	0	0	0	0	22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage MrAK	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL116M10	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL117M01	0	0	0	0	0	0	6.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL067M01	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage P101A	0	0	0	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Kubed	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL060L00	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Propionibacterium phage pa29399-1-D_2	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage pa28	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Propionibacterium phage pa35	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capybara genomovirus 9	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL132N00	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 75	0	0	0	0	0	0	10.0	12.0	0	4.0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0
Propionibacterium phage PHL141N00	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage ATCC29399B_C	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Aquarius	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL113M01	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage LilBandit	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL112N00	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PA6	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Human papillomavirus 193	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
Propionibacterium phage Supernova	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL111M01	0	0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage P9.1	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRESS virus sp.	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	85.0	0	0	0	0	0	0	0	0
Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage P104A	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PAD20	0	0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Keiki	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PacnesP1	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL070N00	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 159	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0
Propionibacterium phage Procrass1	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PAS50	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus type 115	0	0	0	0	0	0	12.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	543.0	0	0
Human papillomavirus 93	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 202	0	0	0	0	0	0	2.0	0	0	0	20.0	10554.0	0	0	0	2.0	0	0	0	0	0	0	0	0
Human papillomavirus 142	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage P100_1	0	0	0	0	0	0	5.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL301M00	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage QueenBey	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Moyashi	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage Solid	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL152M00	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL171M01	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium phage PHL151N00	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Human papillomavirus 113	0	0	0	0	0	0	0	145.0	0	1275.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphovirus contig89	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feline papillomavirus type 2	0	0	0	0	0	0	0	22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genomoviridae sp.	0	0	0	0	0	0	0	7.0	0	0	0	20.0	0	0	0	0	4.0	0	2.0	0	0	0	0	0
Human papillomavirus 197	0	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus phage Javan346	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyclovirus ZM32	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	34.0	0	0	0	0	0	319.0	0	0
Human papillomavirus type 198	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemycircularvirus HV-GcV2	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
