"taxonomy";"RCA.Skin.1";"RCA.Skin.2";"RCA.Skin.3";"RCA.Skin.4";"RCA.Skin.5";"RCA.Skin.6";"RCA.Skin.7";"RCA.Skin.8";"RCA.Skin.9";"RCA.Skin.10";"RCA.Skin.11";"RCA.Skin.12";"RCA.Vulva.1";"RCA.Vulva.2";"RCA.Vulva.3";"RCA.Vulva.4";"RCA.Vulva.5";"RCA.Vulva.6";"RCA.Vulva.7";"RCA.Vulva.8";"RCA.Vulva.9";"RCA.Vulva.10";"RCA.Vulva.11";"RCA.Vulva.12"
"Viruses;Papillomaviridae;Dyothetapapillomavirus;Dyothetapapillomavirus 1";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;NA;Siphovirus contig89";0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus";0;0;0;0;0;0;0;0;0;1572;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus P91";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage PAC1";0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL092M00";0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Stormborn";0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa63";0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL179M00";0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL113M01";0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage BruceLethal";0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL132N00";0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Retroviridae;Gammaretrovirus";15;0;0;12;3;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Retroviridae;Gammaretrovirus;Moloney murine sarcoma virus";15;0;0;12;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa33";0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL141N00";0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL194M00";0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa29399-1-D_2";0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus P100D";0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus SKKY";0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa9-6919-4";0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus P104A";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Procrass1";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PAD20";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PAS50";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Geminiviridae";0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Geminiviridae;Begomovirus";0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Geminiviridae;Begomovirus;Sida golden mosaic Buckup virus";0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Betapapillomavirus;Betapapillomavirus 3";0;685;31;0;17;0;0;2215;0;17;4;0;0;0;0;0;0;0;0;0;0;8;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage PA1-14";0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa615";0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus P101A";0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Attacne";0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage MEAK";0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL111M01";0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL112N00";0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage LilBandit";0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage Supernova";0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PA6";0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL082M03";0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL025M00";0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 24";0;0;0;0;0;0;0;201;0;363;10;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus P105";0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus ATCC29399BC";0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL070N00";0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Keiki";0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage PacnesP1";0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Geminiviridae;Begomovirus;Sida golden mottle virus";0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;NA;NA;Circular genetic element sp.";0;0;2;0;0;14;0;2;13;44;4;85;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL009M11";0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL067M01";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL117M01";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Wizzo";0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa28";0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa35";0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;NA;NA;CRESS virus sp.";0;0;0;83;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Papillomaviridae;Gammapapillomavirus;Gammapapillomavirus 15";0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage PHL116M10";0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage Enoki";0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus MrAK";0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage pa27";0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL037M02";0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL071N05";0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Kubed";0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus Pirate";0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage Leviosa";0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Capybara genomovirus 9";0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;NA;Thrips-associated genomovirus 2";0;0;0;0;0;0;0;0;65;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL060L00";0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium virus PHL041M10";0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage Aquarius";0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Pahexavirus;Propionibacterium phage DrParker";0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;NA;Streptococcus phage SW27";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;22;0;0;0;0;0
"Viruses;Papillomaviridae;Alphapapillomavirus;Alphapapillomavirus 6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7581;0;0;0;0;0
"Viruses;Herelleviridae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"Viruses;Herelleviridae;Sepunavirus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"Viruses;Herelleviridae;Sepunavirus;Staphylococcus phage Quidividi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"Viruses;NA;NA;Bacteriophage sp.";0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;Gemykibivirus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;Gemykibivirus;Human associated gemykibivirus 1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Phietavirus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
"Viruses;Siphoviridae;Phietavirus;Staphylococcus virus IPLA7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0
"Viruses;Genomoviridae;Gemycircularvirus;Canine feces-associated gemycircularvirus";0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viruses;NA;NA;uncultured Caudovirales phage";0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"Viruses;Polyomaviridae;NA";0;239;234;41;63;14;14;21;7;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0
