"ESPECES" "family" "subkingdom" "genus" "species" "number" "value" "from_"
"Human papillomavirus 105" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.5" 2 NA
"Papillomavirus JL74" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.5" 2 NA
"Human papillomavirus 120" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.5" 2 NA
"Spodoptera frugiperda granulovirus" "Baculoviridae" NA "Betabaculovirus" "Spodoptera frugiperda granulovirus" "RCA.Skin.5" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.5" 561 NA
"Epstein-Barr virus" "Herpesviridae" "Gammaherpesvirinae" "Lymphocryptovirus" "Human gammaherpesvirus 4" "RCA.Vulva.5" 2 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Vulva.5" 4 NA
"Human papillomavirus type 11" NA NA NA "Bacteriophage sp." "RCA.Vulva.5" 2 NA
"Human papillomavirus type 6" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 5" "RCA.Vulva.5" 19 NA
"Corynebacterium phage IME1320_01" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 1" "RCA.Vulva.8" 2 NA
"Human papillomavirus type 8" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.7" 330 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.7" 548 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.7" 21 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.7" 55 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.7" 10 NA
"Suid alphaherpesvirus 1" "Herpesviridae" "Alphaherpesvirinae" "Varicellovirus" "Suid alphaherpesvirus 1" "RCA.Skin.7" 7 NA
"Human polyomavirus 6" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 6" "RCA.Skin.7" 94 NA
"Canine feces-associated gemycircularvirus" "Genomoviridae" NA "Gemycircularvirus" "Canine feces-associated gemycircularvirus" "RCA.Skin.7" 17 NA
"Human papillomavirus 5" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.7" 6 NA
"Human papillomavirus type 20" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.7" 4 NA
"Cat associated lyon-IARC polyomavirus" "Polyomaviridae" NA NA "Cat associated lyon-IARC polyomavirus" "RCA.Skin.7" 4 NA
"uncultured Caudovirales phage" NA NA NA "uncultured Caudovirales phage" "RCA.Skin.7" 2 NA
"Human papillomavirus type 8" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.3" 13408 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.3" 1212 NA
"Human polyomavirus 6" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 6" "RCA.Vulva.3" 980 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Vulva.3" 4 NA
"Human papillomavirus 104" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.3" 12 NA
"Human papillomavirus FA75/KI88-03" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.3" 6 NA
"Human papillomavirus 98" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.3" 9875 NA
"Human papillomavirus type 150" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 7" "RCA.Vulva.3" 2922 NA
"Human papillomavirus type 21" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 5" "RCA.Vulva.3" 2 NA
"Sewage-associated gemycircularvirus-10a" "Siphoviridae" NA "Phietavirus" "Staphylococcus virus IPLA7" "RCA.Vulva.3" 3 NA
"Staphylococcus phage Quidividi" "Genomoviridae" NA "Gemykibivirus" "Human associated gemykibivirus 1" "RCA.Vulva.3" 2 NA
"Staphylococcus virus IPLA7" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 5" "RCA.Vulva.3" 9 NA
"unidentified phage" "Herelleviridae" "Twortvirinae" "Sepunavirus" "Staphylococcus phage Quidividi" "RCA.Vulva.3" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.7" 298 NA
"Human papillomavirus 145" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.7" 86 NA
"Human papillomavirus 122" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.7" 2 NA
"Human papillomavirus type 39" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 7" "RCA.Vulva.7" 18263 NA
"Human papillomavirus type 56" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.7" 7581 NA
"Streptococcus phage SW27" "Siphoviridae" NA NA "Corynebacterium phage IME1320_01" "RCA.Vulva.7" 22 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.10" 1705 NA
"Human papillomavirus 107" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.10" 1254 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.10" 398 NA
"Human papillomavirus type 49" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.10" 2 NA
"Human papillomavirus 37" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.10" 63 NA
"Human papillomavirus 105" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.10" 577 NA
"Human papillomavirus type 20" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.10" 2 NA
"Gammapapillomavirus 24" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 24" "RCA.Skin.10" 363 NA
"Human papillomavirus type 24" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.10" 230 NA
"Gammapapillomavirus 9" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 9" "RCA.Skin.10" 123 NA
"Propionibacterium phage PAC1" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage PAC1" "RCA.Skin.10" 100 NA
"Thrips-associated genomovirus 2" "Genomoviridae" NA NA "Thrips-associated genomovirus 2" "RCA.Skin.10" 83 NA
"Human papillomavirus 192" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 15" "RCA.Skin.10" 68 NA
"Betapapillomavirus 1" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.10" 56 NA
"Propionibacterium phage PHL009M11" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL009M11" "RCA.Skin.10" 46 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.10" 44 NA
"Sida golden mottle virus" "Geminiviridae" NA "Begomovirus" "Sida golden mottle virus" "RCA.Skin.10" 42 NA
"Propionibacterium phage P105" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus P105" "RCA.Skin.10" 39 NA
"Propionibacterium phage PHL025M00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL025M00" "RCA.Skin.10" 33 NA
"Propionibacterium phage PHL082M03" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL082M03" "RCA.Skin.10" 31 NA
"Human papillomavirus type 196" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Skin.10" 29 NA
"Propionibacterium phage MEAK" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage MEAK" "RCA.Skin.10" 25 NA
"Propionibacterium phage Attacne" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Attacne" "RCA.Skin.10" 23 NA
"Propionibacterium phage P101A" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus P101A" "RCA.Skin.10" 22 NA
"Propionibacterium phage PA1-14" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage PA1-14" "RCA.Skin.10" 21 NA
"Propionibacterium phage pa615" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa615" "RCA.Skin.10" 21 NA
"Propionibacterium phage pa9-6919-4" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa9-6919-4" "RCA.Skin.10" 19 NA
"Propionibacterium phage P100D" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus P100D" "RCA.Skin.10" 18 NA
"Propionibacterium phage SKKY" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus SKKY" "RCA.Skin.10" 18 NA
"Propionibacterium phage pa29399-1-D_2" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa29399-1-D_2" "RCA.Skin.10" 17 NA
"Propionibacterium phage PHL141N00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL141N00" "RCA.Skin.10" 16 NA
"Propionibacterium phage PHL194M00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL194M00" "RCA.Skin.10" 16 NA
"Propionibacterium phage pa33" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa33" "RCA.Skin.10" 15 NA
"Moloney murine sarcoma virus" "Retroviridae" "Orthoretrovirinae" "Gammaretrovirus" "Moloney murine sarcoma virus" "RCA.Skin.10" 14 NA
"Propionibacterium phage PHL132N00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL132N00" "RCA.Skin.10" 14 NA
"Propionibacterium phage BruceLethal" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL113M01" "RCA.Skin.10" 13 NA
"Propionibacterium phage PHL113M01" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage BruceLethal" "RCA.Skin.10" 13 NA
"Propionibacterium phage PHL179M00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL179M00" "RCA.Skin.10" 12 NA
"Propionibacterium phage pa63" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL092M00" "RCA.Skin.10" 11 NA
"Propionibacterium phage PHL092M00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Stormborn" "RCA.Skin.10" 11 NA
"Propionibacterium phage Stormborn" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa63" "RCA.Skin.10" 11 NA
"Propionibacterium phage P9.1" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus P91" "RCA.Skin.10" 10 NA
"Human papillomavirus type 75" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.10" 9 NA
"Propionibacterium phage Aquarius" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL060L00" "RCA.Skin.10" 9 NA
"Propionibacterium phage DrParker" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL041M10" "RCA.Skin.10" 9 NA
"Propionibacterium phage PHL041M10" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage Aquarius" "RCA.Skin.10" 9 NA
"Propionibacterium phage PHL060L00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage DrParker" "RCA.Skin.10" 9 NA
"Capybara genomovirus 9" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL037M02" "RCA.Skin.10" 8 NA
"Propionibacterium phage Kubed" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL071N05" "RCA.Skin.10" 8 NA
"Propionibacterium phage Leviosa" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Kubed" "RCA.Skin.10" 8 NA
"Propionibacterium phage PHL037M02" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Pirate" "RCA.Skin.10" 8 NA
"Propionibacterium phage PHL071N05" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage Leviosa" "RCA.Skin.10" 8 NA
"Propionibacterium phage Pirate" "Genomoviridae" NA NA "Capybara genomovirus 9" "RCA.Skin.10" 8 NA
"Human papillomavirus 193" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage PHL116M10" "RCA.Skin.10" 7 NA
"Propionibacterium phage Enoki" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage Enoki" "RCA.Skin.10" 7 NA
"Propionibacterium phage MrAK" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus MrAK" "RCA.Skin.10" 7 NA
"Propionibacterium phage pa27" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 7" "RCA.Skin.10" 7 NA
"Propionibacterium phage PHL116M10" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa27" "RCA.Skin.10" 7 NA
"CRESS virus sp." NA NA NA "CRESS virus sp." "RCA.Skin.10" 6 NA
"Propionibacterium phage pa28" "Geminiviridae" NA "Begomovirus" "Sida golden mosaic Buckup virus" "RCA.Skin.10" 6 NA
"Propionibacterium phage pa35" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Wizzo" "RCA.Skin.10" 6 NA
"Propionibacterium phage Wizzo" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa28" "RCA.Skin.10" 6 NA
"Sida golden mosaic Buckup virus" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage pa35" "RCA.Skin.10" 6 NA
"Propionibacterium phage PHL067M01" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL067M01" "RCA.Skin.10" 5 NA
"Propionibacterium phage PHL117M01" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL117M01" "RCA.Skin.10" 5 NA
"Human papillomavirus type 76" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.10" 4 NA
"Human papillomavirus 145" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.10" 4 NA
"Propionibacterium phage ATCC29399B_C" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus ATCC29399BC" "RCA.Skin.10" 4 NA
"Propionibacterium phage Keiki" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL070N00" "RCA.Skin.10" 4 NA
"Propionibacterium phage PacnesP1" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Keiki" "RCA.Skin.10" 4 NA
"Propionibacterium phage PHL070N00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage PacnesP1" "RCA.Skin.10" 4 NA
"Propionibacterium phage LilBandit" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PA6" "RCA.Skin.10" 3 NA
"Propionibacterium phage PA6" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL111M01" "RCA.Skin.10" 3 NA
"Propionibacterium phage PHL111M01" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PHL112N00" "RCA.Skin.10" 3 NA
"Propionibacterium phage PHL112N00" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage LilBandit" "RCA.Skin.10" 3 NA
"Propionibacterium phage Supernova" "Siphoviridae" NA "Pahexavirus" "Propionibacterium phage Supernova" "RCA.Skin.10" 3 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Skin.10" 2 NA
"Human papillomavirus type 115" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.10" 2 NA
"Human papillomavirus 159" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.10" 2 NA
"Propionibacterium phage P104A" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PAD20" "RCA.Skin.10" 2 NA
"Propionibacterium phage PAD20" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus PAS50" "RCA.Skin.10" 2 NA
"Propionibacterium phage PAS50" "Geminiviridae" NA "Begomovirus" "Sida golden mosaic Buckup virus" "RCA.Skin.10" 2 NA
"Propionibacterium phage Procrass1" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus P104A" "RCA.Skin.10" 2 NA
"Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]" "Siphoviridae" NA "Pahexavirus" "Propionibacterium virus Procrass1" "RCA.Skin.10" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.3" 16637 NA
"Human papillomavirus 107" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.3" 127 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.3" 1036 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.3" 9 NA
"Gammapapillomavirus 12" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 12" "RCA.Skin.3" 436 NA
"Human papillomavirus type 16" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 9" "RCA.Skin.3" 10 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.3" 215 NA
"Betapapillomavirus 2" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.3" 2195 NA
"Human polyomavirus 5" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.3" 13 NA
"Papillomavirus JL74" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 13" "RCA.Skin.3" 2 NA
"Cat associated lyon-IARC polyomavirus" "Polyomaviridae" NA NA "Cat associated lyon-IARC polyomavirus" "RCA.Skin.3" 19 NA
"Gammapapillomavirus 9" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 9" "RCA.Skin.3" 197 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.3" 2 NA
"Human papillomavirus type 75" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.3" 10 NA
"Human papillomavirus type 76" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.3" 21 NA
"uncultured virus" NA NA NA "uncultured virus" "RCA.Skin.3" 191 NA
"Human papillomavirus type 209" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.3" 14722 NA
"Human papillomavirus 80" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.3" 2184 NA
"Human papillomavirus 122" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.3" 141 NA
"Human papillomavirus 113" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.3" 101 NA
"Human papillomavirus 155" "Papillomaviridae" "Firstpapillomavirinae" "Alphapapillomavirus" "Alphapapillomavirus 7" "RCA.Skin.3" 4 NA
"Human papillomavirus type 39" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 7" "RCA.Skin.3" 4 NA
"Siphovirus contig89" "Siphoviridae" NA NA "Siphovirus contig89" "RCA.Skin.3" 4 NA
"Feline papillomavirus type 2" "Papillomaviridae" "Firstpapillomavirinae" "Dyothetapapillomavirus" "Dyothetapapillomavirus 1" "RCA.Skin.3" 3 NA
"Genomoviridae sp." "Genomoviridae" NA NA "Genomoviridae sp." "RCA.Skin.3" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.4" 91 NA
"Human papillomavirus 5" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 1" "RCA.Vulva.4" 372 NA
"Acinetobacter phage TAC1" NA NA NA "uncultured marine virus" "RCA.Vulva.4" 2 NA
"unidentified phage" "Herelleviridae" "Twortvirinae" "Sepunavirus" "Staphylococcus phage Quidividi" "RCA.Vulva.4" 2 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Skin.8" 3861 NA
"Merkel cell polyomavirus" "Polyomaviridae" NA "Alphapolyomavirus" "Human polyomavirus 5" "RCA.Skin.8" 327 NA
"MW polyomavirus" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 10" "RCA.Skin.8" 28 NA
"LI polyomavirus" "Polyomaviridae" NA NA "LI polyomavirus" "RCA.Skin.8" 21 NA
"Epstein-Barr virus" "Herpesviridae" "Gammaherpesvirinae" "Lymphocryptovirus" "Human gammaherpesvirus 4" "RCA.Skin.8" 6 NA
"Human polyomavirus 6" "Polyomaviridae" NA "Deltapolyomavirus" "Human polyomavirus 6" "RCA.Skin.8" 22 NA
"Gammapapillomavirus 24" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 24" "RCA.Skin.8" 201 NA
"Circular genetic element sp." NA NA NA "Circular genetic element sp." "RCA.Skin.8" 2 NA
"Human papillomavirus type 75" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.8" 4 NA
"Human papillomavirus type 76" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 3" "RCA.Skin.8" 2211 NA
"Human papillomavirus 113" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.8" 1268 NA
"Human papillomavirus 175" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 23" "RCA.Skin.8" 2887 NA
"Gammapapillomavirus 8" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 8" "RCA.Skin.8" 73 NA
"Human papillomavirus 104" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.8" 29 NA
"Human papillomavirus type 176" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 8" "RCA.Skin.8" 17 NA
"Gammapapillomavirus 1" "Papillomaviridae" "Firstpapillomavirinae" "Gammapapillomavirus" "Gammapapillomavirus 1" "RCA.Skin.8" 15 NA
"Lambdapapillomavirus 1" "Papillomaviridae" "Firstpapillomavirinae" "Lambdapapillomavirus" "Lambdapapillomavirus 1" "RCA.Skin.8" 10 NA
"Human papillomavirus FA75/KI88-03" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Skin.8" 5 NA
"Human papillomavirus" "Papillomaviridae" NA NA "Human papillomavirus" "RCA.Vulva.9" 218 NA
"Human papillomavirus 145" "Papillomaviridae" "Firstpapillomavirinae" "Betapapillomavirus" "Betapapillomavirus 2" "RCA.Vulva.9" 50 NA
