"tax_id","superkingdom","phylum","class","order","family","genus","species","kingdom","no.rank","no.rank1","no.rank2","no.rank22","no.rank3","subclass","subfamily","subkingdom","suborder","subphylum","subspecies","subtribe","superfamily"
69984,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 3","","Human papillomavirus type 75","","","","","","","Firstpapillomavirinae","","","","",""
69985,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 3","","Human papillomavirus type 76","","","","","","","Firstpapillomavirinae","","","","",""
69986,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 2","","Human papillomavirus 77","","","","","","","Firstpapillomavirinae","","","","",""
69987,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 80","","","","","","","Firstpapillomavirinae","","","","",""
181667,"Viruses","","","","Papillomaviridae","Lambdapapillomavirus","Lambdapapillomavirus 1","","","","","","","","","Firstpapillomavirinae","","","","",""
186617,"Viruses","","","","","","uncultured marine virus","","environmental samples","","","","","","","","","","","",""
247269,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 5","","Human papillomavirus type 96","","","","","","","Firstpapillomavirinae","","","","",""
279006,"Viruses","","","Caudovirales","Myoviridae","","Acinetobacter virus 133","","","","","","","","","Tevenvirinae","","","","",""
307454,"Viruses","","","","Baculoviridae","Betabaculovirus","Spodoptera frugiperda granulovirus","","","","","","","","","","","","","",""
333760,"Viruses","","","","Papillomaviridae","Alphapapillomavirus","Alphapapillomavirus 9","","Human papillomavirus type 16","","","","","","","Firstpapillomavirinae","","","","",""
333923,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus 5","","","","","","","Firstpapillomavirinae","","","","",""
333924,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","","","","","","","","Firstpapillomavirinae","","","","",""
333926,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 1","","","","","","","","","Firstpapillomavirinae","","","","",""
337051,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","","","","","","","","Firstpapillomavirinae","","","","",""
340016,"Viruses","","","","","","uncultured virus","","environmental samples","","","","","","","","","","","",""
376758,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PA6","","Propionibacterium phage PA6","","","","","","","","","","","",""
427343,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 107","","","","","","","Firstpapillomavirinae","","","","",""
444008,"Viruses","","","","Anelloviridae","","Torque teno virus","","unclassified Anelloviridae","TT virus sle","TT virus sle2556","","","","","","","","","",""
444010,"Viruses","","","","Anelloviridae","","Torque teno virus","","unclassified Anelloviridae","TT virus sle","TT virus sle2552","","","","","","","","","",""
444011,"Viruses","","","","Anelloviridae","","Torque teno virus","","unclassified Anelloviridae","TT virus sle","TT virus sle2550","","","","","","","","","",""
464980,"Viruses","","","","Papillomaviridae","Chipapillomavirus","Chipapillomavirus 2","","Canis familiaris papillomavirus 4","","","","","","","Firstpapillomavirinae","","","","",""
493803,"Viruses","","","","Polyomaviridae","Alphapolyomavirus","Human polyomavirus 5","","Merkel cell polyomavirus","","","","","","","","","","","",""
504501,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PAD20","","Propionibacterium phage PAD20","","","","","","","","","","","",""
504553,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PAS50","","Propionibacterium phage PAS50","","","","","","","","","","","",""
518628,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 104","","","","","","","Firstpapillomavirinae","","","","",""
518630,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 111","","","","","","","Firstpapillomavirinae","","","","",""
563190,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 104","Human papillomavirus FA75/KI88-03","","","","","","Firstpapillomavirinae","","","","",""
568209,"Viruses","","","","Papillomaviridae","Dyothetapapillomavirus","Dyothetapapillomavirus 1","","Feline papillomavirus type 2","","","","","","","Firstpapillomavirinae","","","","",""
587347,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus 98","","","","","","","Firstpapillomavirinae","","","","",""
587348,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus 99","","","","","","","Firstpapillomavirinae","","","","",""
587349,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 100","","","","","","","Firstpapillomavirinae","","","","",""
587350,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus 105","","","","","","","Firstpapillomavirinae","","","","",""
587351,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 113","","","","","","","Firstpapillomavirinae","","","","",""
696746,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 3","","Human papillomavirus type 115","","","","","","","Firstpapillomavirinae","","","","",""
743811,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 5","","Human papillomavirus type 150","","","","","","","Firstpapillomavirinae","","","","",""
746830,"Viruses","","","","Polyomaviridae","Deltapolyomavirus","Human polyomavirus 6","","","","","","","","","","","","","",""
746831,"Viruses","","","","Polyomaviridae","Deltapolyomavirus","Human polyomavirus 7","","","","","","","","","","","","","",""
759390,"Viruses","","","","Geminiviridae","Begomovirus","Sida golden mottle virus","","","","","","","","","","","","","",""
765052,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 120","","","","","","","Firstpapillomavirinae","","","","",""
765054,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 122","","","","","","","Firstpapillomavirinae","","","","",""
909328,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 7","","Human papillomavirus 149","","","","","","","Firstpapillomavirinae","","","","",""
929769,"Viruses","","","","Geminiviridae","Begomovirus","Sida golden mosaic Buckup virus","","Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]","","","","","","","","","","","",""
931209,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 13","","Human papillomavirus type 128","","","","","","","Firstpapillomavirinae","","","","",""
931210,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 9","","Human papillomavirus type 129","","","","","","","Firstpapillomavirinae","","","","",""
942038,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 12","","Human papillomavirus 148","","","","","","","Firstpapillomavirinae","","","","",""
986164,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus V001/Slovenia/2010","","","","","","","Firstpapillomavirinae","","","","",""
1034800,"Viruses","","","","Papillomaviridae","","uncultured Papillomavirus","","environmental samples","","","","","","","","","","","",""
1055684,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11","","Human papillomavirus 126","","","","","","","Firstpapillomavirinae","","","","",""
1070409,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11","","Human papillomavirus 136","","","","","","","Firstpapillomavirinae","","","","",""
1070413,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11","","Human papillomavirus 140","","","","","","","Firstpapillomavirinae","","","","",""
1070418,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 145","","","","","","","Firstpapillomavirinae","","","","",""
1070420,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 8","","Human papillomavirus type 147","","","","","","","Firstpapillomavirinae","","","","",""
1165934,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 7","","Human papillomavirus 155","","","","","","","Firstpapillomavirinae","","","","",""
1175849,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 7","","","","","","","","","Firstpapillomavirinae","","","","",""
1175850,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 8","","","","","","","","","Firstpapillomavirinae","","","","",""
1175851,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 9","","","","","","","","","Firstpapillomavirinae","","","","",""
1188015,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Human betapapillomavirus","","unclassified Betapapillomavirus","","","","","","","Firstpapillomavirinae","","","","",""
1195796,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11","","Human papillomavirus 154","","","","","","","Firstpapillomavirinae","","","","",""
1197953,"Viruses","","","Caudovirales","Siphoviridae","Phietavirus","Staphylococcus virus IPLA7","","","","","","","","","","","","","",""
1203539,"Viruses","","","","Polyomaviridae","Deltapolyomavirus","Human polyomavirus 10","","MW polyomavirus","","","","","","","","","","","",""
1209820,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus 159","","","","","","","Firstpapillomavirinae","","","","",""
1229782,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus P91","","Propionibacterium phage P9.1","","","","","","","","","","","",""
1229786,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus P101A","","Propionibacterium phage P101A","","","","","","","","","","","",""
1229787,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus P104A","","Propionibacterium phage P104A","","","","","","","","","","","",""
1229788,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus P105","","Propionibacterium phage P105","","","","","","","","","","","",""
1229789,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus P100D","","Propionibacterium phage P100D","","","","","","","","","","","",""
1229794,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus ATCC29399BC","","Propionibacterium phage ATCC29399B_C","","","","","","","","","","","",""
1235646,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL037M02","","Propionibacterium phage PHL037M02","","","","","","","","","","","",""
1235647,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL060L00","","Propionibacterium phage PHL060L00","","","","","","","","","","","",""
1235650,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL071N05","","Propionibacterium phage PHL071N05","","","","","","","","","","","",""
1235653,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL111M01","","Propionibacterium phage PHL111M01","","","","","","","","","","","",""
1235654,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL112N00","","Propionibacterium phage PHL112N00","","","","","","","","","","","",""
1235655,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL113M01","","Propionibacterium phage PHL113M01","","","","","","","","","","","",""
1273707,"Viruses","","","Caudovirales","Podoviridae","Hollowayvirus","Pseudomonas virus H66","","","","","","","","","","","","","",""
1434782,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 23","","Human papillomavirus 175","","","","","","","Firstpapillomavirinae","","","","",""
1434988,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 1","","Human papillomavirus 173","","","","","","","Firstpapillomavirinae","","","","",""
1500798,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL009M11","","Propionibacterium phage PHL009M11","","","","","","","","","","","",""
1500799,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL025M00","","Propionibacterium phage PHL025M00","","","","","","","","","","","",""
1500801,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL041M10","","Propionibacterium phage PHL041M10","","","","","","","","","","","",""
1500805,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL067M01","","Propionibacterium phage PHL067M01","","","","","","","","","","","",""
1500807,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL070N00","","Propionibacterium phage PHL070N00","","","","","","","","","","","",""
1500810,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL082M03","","Propionibacterium phage PHL082M03","","","","","","","","","","","",""
1500813,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL092M00","","Propionibacterium phage PHL092M00","","","","","","","","","","","",""
1500817,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage PHL116M10","","unclassified Pahexavirus","","","","","","","","","","","",""
1500819,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL117M01","","Propionibacterium phage PHL117M01","","","","","","","","","","","",""
1500820,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL132N00","","Propionibacterium phage PHL132N00","","","","","","","","","","","",""
1500821,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL141N00","","Propionibacterium phage PHL141N00","","","","","","","","","","","",""
1500828,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL179M00","","Propionibacterium phage PHL179M00","","","","","","","","","","","",""
1500829,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus PHL194M00","","Propionibacterium phage PHL194M00","","","","","","","","","","","",""
1506566,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Cyclovirus ZM32","","","","","","","","","","",""
1506569,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Cyclovirus ZM38","","","","","","","","","","",""
1506570,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Cyclovirus ZM41","","","","","","","","","","",""
1506571,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Cyclovirus ZM50a","","","","","","","","","","",""
1506573,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Cyclovirus ZM62","","","","","","","","","","",""
1513257,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 12","","","","","","","","","Firstpapillomavirinae","","","","",""
1513525,"Viruses","","","","Geminiviridae","Begomovirus","Sida golden mosaic Buckup virus","","","","","","","","","","","","","",""
1518022,"Viruses","","","Caudovirales","Siphoviridae","","Siphovirus contig89","","unclassified Siphoviridae","","","","","","","","","","","",""
1519409,"Viruses","","","","Genomoviridae","Gemykibivirus","Human associated gemykibivirus 1","","Sewage-associated gemycircularvirus-10a","","","","","","","","","","","",""
1573583,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Swine cyclovirus","","","","","","","","","","",""
1573584,"Viruses","","","","Circoviridae","Cyclovirus","Human associated cyclovirus 8","","Cyclovirus VN","Human cyclovirus VN-like","","","","","","","","","","",""
1636578,"Viruses","","","Caudovirales","Siphoviridae","Skunavirus","Lactococcus phage 936 group phage PhiF0139","","unclassified Skunavirus","","","","","","","","","","","",""
1654740,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage BruceLethal","","unclassified Pahexavirus","","","","","","","","","","","",""
1654780,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage Enoki","","unclassified Pahexavirus","","","","","","","","","","","",""
1655012,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Attacne","","Propionibacterium phage Attacne","","","","","","","","","","","",""
1655013,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Keiki","","Propionibacterium phage Keiki","","","","","","","","","","","",""
1655014,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Kubed","","Propionibacterium phage Kubed","","","","","","","","","","","",""
1655016,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus MrAK","","Propionibacterium phage MrAK","","","","","","","","","","","",""
1655018,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Pirate","","Propionibacterium phage Pirate","","","","","","","","","","","",""
1655019,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Procrass1","","Propionibacterium phage Procrass1","","","","","","","","","","","",""
1655020,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus SKKY","","Propionibacterium phage SKKY","","","","","","","","","","","",""
1655022,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Stormborn","","Propionibacterium phage Stormborn","","","","","","","","","","","",""
1655023,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium virus Wizzo","","Propionibacterium phage Wizzo","","","","","","","","","","","",""
1682341,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 11","","Human papillomavirus 202","","","","","","","Firstpapillomavirinae","","","","",""
1690805,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage PAC1","","unclassified Pahexavirus","","","","","","","","","","","",""
1747271,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage PA1-14","","unclassified Pahexavirus","","","","","","","","","","","",""
1846251,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 13","","Human papillomavirus type 128","Papillomavirus JL74","","","","","","Firstpapillomavirinae","","","","",""
1851122,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 8","","Human papillomavirus type 176","","","","","","","Firstpapillomavirinae","","","","",""
1851125,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus type 182","","","","","","","Firstpapillomavirinae","","","","",""
1851127,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 5","","Human papillomavirus type 185","","","","","","","Firstpapillomavirinae","","","","",""
1851217,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 15","","Human papillomavirus 192","","","","","","","Firstpapillomavirinae","","","","",""
1851218,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 7","","Human papillomavirus 193","","","","","","","Firstpapillomavirinae","","","","",""
1851221,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 1","","Human papillomavirus type 196","","","","","","","Firstpapillomavirinae","","","","",""
1891726,"Viruses","","","","Polyomaviridae","Alphapolyomavirus","Human polyomavirus 5","","","","","","","","","","","","","",""
1891762,"Viruses","","","","Polyomaviridae","Betapolyomavirus","Human polyomavirus 1","","","","","","","","","","","","","",""
1891764,"Viruses","","","","Polyomaviridae","Betapolyomavirus","Human polyomavirus 3","","","","","","","","","","","","","",""
1941234,"Viruses","","","","Genomoviridae","","Thrips-associated genomovirus 2","","unclassified Genomoviridae","","","","","","","","","","","",""
1961681,"Viruses","","","","Papillomaviridae","Gammapapillomavirus","Gammapapillomavirus 24","","","","","","","","","Firstpapillomavirinae","","","","",""
1961924,"Viruses","","","","Papillomaviridae","Betapapillomavirus","Betapapillomavirus 2","","Human papillomavirus type 209","","","","","","","Firstpapillomavirinae","","","","",""
1962672,"Viruses","","","Caudovirales","Siphoviridae","","Streptococcus virus MS1","","unclassified Siphoviridae","","","","","","","","","","","",""
1965344,"Viruses","","","","Polyomaviridae","","LI polyomavirus","","unclassified Polyomaviridae","","","","","","","","","","","",""
1965535,"Viruses","","","Caudovirales","Siphoviridae","","Corynebacterium phage IME1320_01","","unclassified Siphoviridae","","","","","","","","","","","",""
1983620,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage PacnesP1","","unclassified Pahexavirus","","","","","","","","","","","",""
2016461,"Viruses","","","","Genomoviridae","Gemycircularvirus","Giant panda associated gemycircularvirus","","unclassified Gemycircularvirus","","","","","","","","","","","",""
2017709,"Viruses","","","","Genomoviridae","Gemycircularvirus","Canine feces-associated gemycircularvirus","","unclassified Gemycircularvirus","","","","","","","","","","","",""
2017712,"Viruses","","","","Genomoviridae","Gemycircularvirus","Porcine feces-associated gemycircularvirus","","unclassified Gemycircularvirus","","","","","","","","","","","",""
2041558,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage Aquarius","","unclassified Pahexavirus","","","","","","","","","","","",""
2041559,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage DrParker","","unclassified Pahexavirus","","","","","","","","","","","",""
2041560,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage Leviosa","","unclassified Pahexavirus","","","","","","","","","","","",""
2041561,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage LilBandit","","unclassified Pahexavirus","","","","","","","","","","","",""
2041562,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage MEAK","","unclassified Pahexavirus","","","","","","","","","","","",""
2041563,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage Supernova","","unclassified Pahexavirus","","","","","","","","","","","",""
2055263,"Viruses","","","","Anelloviridae","","Anelloviridae sp.","","unclassified Anelloviridae","","","","","","","","","","","",""
2079400,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa27","","unclassified Pahexavirus","","","","","","","","","","","",""
2079401,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa28","","unclassified Pahexavirus","","","","","","","","","","","",""
2079403,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa29399-1-D_2","","unclassified Pahexavirus","","","","","","","","","","","",""
2079406,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa33","","unclassified Pahexavirus","","","","","","","","","","","",""
2079407,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa35","","unclassified Pahexavirus","","","","","","","","","","","",""
2079409,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa615","","unclassified Pahexavirus","","","","","","","","","","","",""
2079410,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa63","","unclassified Pahexavirus","","","","","","","","","","","",""
2079412,"Viruses","","","Caudovirales","Siphoviridae","Pahexavirus","Propionibacterium phage pa9-6919-4","","unclassified Pahexavirus","","","","","","","","","","","",""
2100421,"Viruses","","","Caudovirales","","","uncultured Caudovirales phage","","environmental samples","","","","","","","","","","","",""
